board,op,format,regime,tier,t3_disp_READONLY,t3_cold_READONLY,p5_missing_mechanism,p5_wall_word_3tier,p5_causal_note,p5_provenance
k1,product_reduce,offset_binary_n3,-,标量类,具名-X,0.797,[MECH-SCALAR-REF-FALLBACK],对手结构优势具名,该格 same-op 对手不存在·落 §〇.2 标量参考兜底·'输'的对象非真手调对手·待补标量仗,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq1_m,-,手调,具名-X,0.25,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq1_s,-,手调,具名-X,0.361,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq2_s,-,手调,具名-X,0.562,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq2_xs,-,手调,具名-X,0.474,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq2_xxs,-,手调,具名-X,0.612,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq3_s,-,手调,具名-X,0.2,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq3_xxs,-,手调,具名-X,0.192,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,iq4_nl,-,手调,具名-X,0.697,[MECH-CODEBOOK-GATHER-BOUND],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导,tools/visibility/p5_loss_causal.py
k1,vec_dot,q2_K,-,手调,具名-X,0.684,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,q3_K,-,手调,具名-X,0.522,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,q4_K,-,手调,具名-X,0.592,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,q6_K,-,手调,具名-X,0.549,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
k1,vec_dot,tq1_0,-,手调,具名-X,0.606,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,iq1_m,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,iq3_s,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,iq4_xs,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,q4_K,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,q5_K,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,dequantize_row,tq2_0,-,标量类,具名-X,,[GAP-DEQ-ZERO-VECTOR-EMISSION],指令数内禀,我方 dequant 核真向量运算=0(全 18 核 RVV intrinsic 恒=2 且两条全 vsetvl)·向量内容全部由宿主编译器 autovec 产出·emitter 零控制权 ⟹ 输赢=codegen 抽签,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,iq2_xxs,decode,标量类,具名-X(decode-M1),0.6,[MECH-SCALAR-REF-FALLBACK],对手结构优势具名,该格 same-op 对手不存在·落 §〇.2 标量参考兜底·'输'的对象非真手调对手·待补标量仗,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,iq4_xs,decode,标量类,具名-X(decode-M1),0.63,[MECH-SCALAR-REF-FALLBACK],对手结构优势具名,该格 same-op 对手不存在·落 §〇.2 标量参考兜底·'输'的对象非真手调对手·待补标量仗,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,q2_K,decode,手调,具名-X(decode-M1),0.0685,[CASE-KQUANT-GCC-CODEGEN] ∧ [MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,rvv 出货 gcc-15.2 对 super-block repack leaf 全 regfile spill/scalarize(vsetvl 922-2952 vs clang 14-81)·同源同算术 ⟹ codegen 病理·非算法非物理墙 ∧ ★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,q3_K,decode,手调,具名-X(decode-M1),0.083,[CASE-KQUANT-GCC-CODEGEN] ∧ [MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,rvv 出货 gcc-15.2 对 super-block repack leaf 全 regfile spill/scalarize(vsetvl 922-2952 vs clang 14-81)·同源同算术 ⟹ codegen 病理·非算法非物理墙 ∧ ★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,q4_K,decode,手调,具名-X(decode-M1),0.361,[CASE-KQUANT-GCC-CODEGEN] ∧ [MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,rvv 出货 gcc-15.2 对 super-block repack leaf 全 regfile spill/scalarize(vsetvl 922-2952 vs clang 14-81)·同源同算术 ⟹ codegen 病理·非算法非物理墙 ∧ ★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,q5_K,decode,通用向量,具名-X(decode-M1),0.1273,[CASE-KQUANT-GCC-CODEGEN] ∧ [MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,rvv 出货 gcc-15.2 对 super-block repack leaf 全 regfile spill/scalarize(vsetvl 922-2952 vs clang 14-81)·同源同算术 ⟹ codegen 病理·非算法非物理墙 ∧ ★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
rvv,gemm_tile,q6_K,decode,手调,具名-X(decode-M1),0.0535,[CASE-KQUANT-GCC-CODEGEN] ∧ [MECH-WEIGHT-RECONSTRUCTION-BOUND],指令数内禀,rvv 出货 gcc-15.2 对 super-block repack leaf 全 regfile spill/scalarize(vsetvl 922-2952 vs clang 14-81)·同源同算术 ⟹ codegen 病理·非算法非物理墙 ∧ ★P5 重归因:发射体 depth-3 主体=权重位重建(vand/vsrl/vsll/vor)·fold 仅占 depth-3 body 的 <0.3% ⟹ 成本中心=权重重建·NOT fold@M=1,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq1_m,-,手调,具名-X,0.152,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq1_s,-,手调,具名-X,0.365,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq2_xs,-,手调,具名-X,0.529,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq2_xxs,-,手调,具名-X,0.697,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq3_s,-,手调,具名-X,0.213,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,iq3_xxs,-,手调,具名-X,0.156,[MECH-CODEBOOK-GATHER-BOUND] ∧ [MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,codebook gather 深水:我方 64x vluxei16 vs 对手 32x vrgather·gather 端口吞吐主导 ∧ 对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,nvfp4,-,标量类,具名-X,0.565,[GAP-P1]-regfile-spill,指令数内禀,全展开 regfile spill·纯搬运指令占比高(nvfp4@rvv 44/371≈30%)·re-roll 已试→NULL(第三次证伪)·未试杠杆仍在,tools/visibility/p5_loss_causal.py
rvv,vec_dot,q2_K,-,手调,具名-X,0.342,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,q3_K,-,手调,具名-X,0.258,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,q4_K,-,手调,具名-X,0.189,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,q6_K,-,手调,具名-X,0.18,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
rvv,vec_dot,tq1_0,-,手调,具名-X,0.207,[MECH-OPP-HANDTUNED-VL-SPECIFIC],对手结构优势具名,对手=SpacemiT per-VLEN 手调全展开 block-dot(chip-tuned)·我方 leaf VLEN-invariant ⟹ 对手结构优势·非我方核缺陷,tools/visibility/p5_loss_causal.py
