perturbation_scenario,expected_behavior,observed_behavior,load_resolution_record_ptr,verdict,snapshot
neg_weight_stride:posguard — weight_block_stride=-34 (NEGATIVE AoS stride),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,SILENT-PASS exit=0 (no diagnostic; malformed IR accepted + lowered),tools/fuzz/f5_failclosed_fuzz.sh#neg_weight_stride; in-sha256=1733a7cbc021,FAIL(fail-open:silent-pass),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
neg_activ_stride:posguard — activation_block_stride=-34 (NEGATIVE AoS stride),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,SILENT-PASS exit=0 (no diagnostic; malformed IR accepted + lowered),tools/fuzz/f5_failclosed_fuzz.sh#neg_activ_stride; in-sha256=8154dad3c1f7,FAIL(fail-open:silent-pass),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
wrong_weight_ctype:abi — weight base bound as 'const int8_t *' (not const uint8_t *),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires the weight base operand to bind a runtime ABI value of C,tools/fuzz/f5_failclosed_fuzz.sh#wrong_weight_ctype; in-sha256=12eae99d261c,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
wrong_output_ctype:abi — output base bound as 'double *' (not float *),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires the output operand to bind a runtime ABI value of C type,tools/fuzz/f5_failclosed_fuzz.sh#wrong_output_ctype; in-sha256=12157bc84ee5,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
drop_operand:arity — drop the runtime element-count operand (3 operands not 4),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=parse | expected ';',tools/fuzz/f5_failclosed_fuzz.sh#drop_operand; in-sha256=77d2ba5290b8,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
yield_type_mismatch:arity — loop yield typed i32 while carried acc is f32,fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=parse | use of value '%acc_next' expects different type than prior uses: 'i32' vs 'f32',tools/fuzz/f5_failclosed_fuzz.sh#yield_type_mismatch; in-sha256=f0c10949d438,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
region_extra_arg:region — region carries 3 entry args (block_index+acc+extra),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires the region to carry exactly two entry arguments: the blo,tools/fuzz/f5_failclosed_fuzz.sh#region_extra_arg; in-sha256=5ee8e5b1f7e0,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
region_arg0_not_idx:region — first region arg typed f32 (must be index induction var),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires the first region argument (block_index) to be index-type,tools/fuzz/f5_failclosed_fuzz.sh#region_arg0_not_idx; in-sha256=9405184f34d5,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
drop_terminator:region — region has no typed loop yield terminator,fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_body' op requires the region to be terminated by tcrv_rvv.typed_flat_block,tools/fuzz/f5_failclosed_fuzz.sh#drop_terminator; in-sha256=d0df1a68ec43,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
orphan_yield:bypass — loop terminator op at func scope (outside HasParent loop body),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verify | 'tcrv_rvv.typed_flat_block_dot_loop_yield' op expects parent op 'tcrv_rvv.typed_flat_block_dot_loop_body',tools/fuzz/f5_failclosed_fuzz.sh#orphan_yield; in-sha256=4e24373e5080,PASS(fail-closed),HEAD=f96f767a; seed-sha256=c86e8413100d; board=n/a(host-static-verify)
delete_fact:capfact-delete -- delete the declared @rvv_vector capability fact a variant requires,fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verifier-op(weft.exec.variant) pass-conditional=no | 'weft.exec.variant' op requires unknown capability @rvv_vect,tools/falsifier/t1b_perturbation_harness.py#delete_fact; in-sha256=0b466c4624a5,PASS(fail-closed),HEAD=c6abcccb; seed-sha256=3f6aed656e04; board=n/a(host-static-verify)
forge_conflict:capfact-conflict -- forge a conflicts relation that HITS available @no_vector build policy,fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=pass:weft-check-capability-requires pass-conditional=yes | static variant @rvv_path requires conflicting capability @rv,tools/falsifier/t1b_perturbation_harness.py#forge_conflict; in-sha256=a44a7308174c,PASS(fail-closed),HEAD=c6abcccb; seed-sha256=3f6aed656e04; board=n/a(host-static-verify)
inject_unknown_fact:capfact-unknown -- inject undeclared @phantom_ime into requires (unknown = false),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=verifier-op(weft.exec.variant) pass-conditional=no | 'weft.exec.variant' op requires unknown capability @phantom_,tools/falsifier/t1b_perturbation_harness.py#inject_unknown_fact; in-sha256=cebfaf2a66d7,PASS(fail-closed),HEAD=c6abcccb; seed-sha256=3f6aed656e04; board=n/a(host-static-verify)
vector_absent:capfact-vector-absent -- vector capability instance present but status=unavailable (absent vector),fail-closed reject: diagnostic + non-zero exit + no crash + no silent-pass,REJECTED exit=1 layer=pass:weft-check-capability-requires pass-conditional=yes | static variant @rvv_path requires unavailable capability @rv,tools/falsifier/t1b_perturbation_harness.py#vector_absent; in-sha256=4bbefbc6fe9d,PASS(fail-closed),HEAD=c6abcccb; seed-sha256=3f6aed656e04; board=n/a(host-static-verify)
