kernel,target,phase,ratio,measurement,status,cluster,entity,work_ledger,owner,needs,source,evidence,repro,this_round
iq1_s_q8_k,K1/X60,decode,0.791718,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。 同issue共用clone map及CSE/rematerialization固定点的本轮组合在SG standalone/decode约回退5%，已撤回；原始read唯一不等于下游投影应无条件共享。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-k1-000-iq1_s_q8_k-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq1_s 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
iq1_s_q8_k,SG2044,decode,0.805554,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。 同issue共用clone map及CSE/rematerialization固定点的本轮组合在SG standalone/decode约回退5%，已撤回；原始read唯一不等于下游投影应无条件共享。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-005-iq1_s_q8_k-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq1_s 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
mul_mat_iq1_s,K1/X60,decode,0.808785,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。 同issue共用clone map及CSE/rematerialization固定点的本轮组合在SG standalone/decode约回退5%，已撤回；原始read唯一不等于下游投影应无条件共享。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-k1.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-k1-001-mul_mat_iq1_s-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq1_s decode 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
mul_mat_iq1_s,SG2044,decode,0.811497,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。 同issue共用clone map及CSE/rematerialization固定点的本轮组合在SG standalone/decode约回退5%，已撤回；原始read唯一不等于下游投影应无条件共享。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-006-mul_mat_iq1_s-decode.log; /tmp/weft-ratio95-issue-supply.uhgKOr/issue-fixedpoint-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_s decode 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
q2_k_q8_k,SG2044,decode,0.824402,targeted-rerun,待定,08-subregister-reduction-sequence,16-lane m2 reduction 与两个 8-lane m1 reduction 的局部选择,双方每块均为 16 B metadata unit read、4 Q2 loads、16 Q8 loads、16 products、4 scale mul + 12 MAC、4 extract。Weft 16 次 16-lane vwredsum；donor 32 次 8-lane vwredsum，切为两个子寄存器归约。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass; lib/Target/SelectRISCVOperations.cpp,闭合的 subregister reduction/issue sequence 及其延迟/资源选择；这是同一整数程序的物理选择，不是作者数值树差异。该差异的时间占比尚未通过单独 A/B 定量隔离。,source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:750; /tmp/weft-quantized-vec-dot.GTr3Tq/kernel.c:95,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 q2_k 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
iq1_m_q8_k,SG2044,decode,0.824621,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-007-iq1_m_q8_k-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq1_m 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
mul_mat_iq1_m,SG2044,decode,0.824986,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044.jsonl; /tmp/weft-ratio95-issue-supply.uhgKOr/restored-sg2044-008-mul_mat_iq1_m-decode.log,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_m decode 10,相关入口数值复跑通过；最新保留阶段=restored；未将该行描述为已达线
mul_mat_q1_0,SG2044,prefill,0.825931,targeted-rerun,待定,13-mask-replica-projection,mask broadcast/free-axis -> signed bitmask partial,当前每 32 元素的 4 个 Xq load 已跨 8 个输出共享；仍先将 bitmask 解码为 +/-1，再每输出 2 次 byte MAC。现有 signed-bitmask matcher 仅支持 scalar output、同形状且完整单 lane axis。,lib/Target/FuseRISCVBitplanes.cpp::matchSignedBitmaskReduction; lib/Target/MaterializeRISCVPartialAccumulators.cpp; signed-mask leaf 数值合同,mask broadcast 与 replica partial 关系，以及 -128 的范围证明或先 widening 后变号；LMUL 8/16/32/64 已扫，不能继续只靠增宽。,lib/Target/FuseRISCVBitplanes.cpp:142; lib/Target/RISCVIntrinsicC.cpp:8860; examples/kernels/mul_mat/q1_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 q1_0 prefill 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
mul_mat_q2_k,SG2044,decode,0.828327,targeted-rerun,待定,08-subregister-reduction-sequence,16-lane m2 reduction 与两个 8-lane m1 reduction 的局部选择,双方每块均为 16 B metadata unit read、4 Q2 loads、16 Q8 loads、16 products、4 scale mul + 12 MAC、4 extract。Weft 16 次 16-lane vwredsum；donor 32 次 8-lane vwredsum，切为两个子寄存器归约。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass; lib/Target/SelectRISCVOperations.cpp,闭合的 subregister reduction/issue sequence 及其延迟/资源选择；这是同一整数程序的物理选择，不是作者数值树差异。该差异的时间占比尚未通过单独 A/B 定量隔离。,source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:750; /tmp/weft-quantized-vec-dot.GTr3Tq/kernel.c:95,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 q2_k decode 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
iq4_nl_q8_0,K1/X60,decode,0.841749,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq4_nl 10,本轮未触及；沿用上一轮实体定位与测量，不宣称重新验过
