kernel,target,phase,ratio,measurement,status,cluster,entity,work_ledger,owner,needs,source,evidence,repro,this_round
iq1_s_q8_k,SG2044,decode,0.805852,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq1_s 10,已修 bsum 成对读取；sibling metadata/partial 仍待定
mul_mat_iq1_s,K1/X60,decode,0.808033,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq1_s decode 10,已修 bsum 成对读取；sibling metadata/partial 仍待定
mul_mat_iq1_s,SG2044,decode,0.811565,targeted-rerun,待定,01-sibling-supply,w.qh[group] -> grid-index/delta -> sibling reductions,bsum 两路 vlse16 已合为一条 vlseg2e16；原始 qh field read 已共享，grid-index、scale/delta 的 issue 表示与 sibling partial 收敛仍分离。,lib/Target/PropagateRISCVLayouts.cpp::reductionSupplyRoles; lib/Target/ShareRISCVLayeredWindows.cpp,共同 metadata value 的 shaped 供应边界及 issue 投影，联合 partial lifetime；本轮只修成对读取，不改变 main/correction 的数值树。,examples/kernels/vec_dot/iq1_s_q8_k.py:21; lib/Target/PropagateRISCVLayouts.cpp:661,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/segment-pair-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_s decode 10,已修 bsum 成对读取；sibling metadata/partial 仍待定
iq3_xxs_q8_k,SG2044,decode,0.821968,targeted-rerun,待定,04-entry-pairing-index-live-set,I8X4 lookup / sign broadcast index / data-partial live set,metadata 已是每块 32 B 且 sign/scale 共用 SSA；直接扩展的 entry index 已降到 EEW16。当前每 64 元素 16 个 4 B entry，donor 8 个 8 B entry；sign 位运算链仍为 u32。,lib/Target/PlanRISCVMemory.cpp::materializeEntryByteOffsets; lib/Target/ShareRISCVLayeredWindows.cpp; lib/Target/MaterializeRISCVPartialAccumulators.cpp,表达成对 4 B entry 到 8 B entry 的源坐标关系及 sign 广播复用，联合估计 index/data/partial 生存期；不要对任意 u32 运算链追加 narrow。,examples/kernels/vec_dot/iq3_xxs_q8_k.py:8; lib/Target/PlanRISCVMemory.cpp:313; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:5107,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq3_xxs 10,重跑；原缺口仍待定
q2_k_q8_k,SG2044,decode,0.824402,targeted-rerun,待定,08-subregister-reduction-sequence,16-lane m2 reduction 与两个 8-lane m1 reduction 的局部选择,双方每块均为 16 B metadata unit read、4 Q2 loads、16 Q8 loads、16 products、4 scale mul + 12 MAC、4 extract。Weft 16 次 16-lane vwredsum；donor 32 次 8-lane vwredsum，切为两个子寄存器归约。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass; lib/Target/SelectRISCVOperations.cpp,闭合的 subregister reduction/issue sequence 及其延迟/资源选择；这是同一整数程序的物理选择，不是作者数值树差异。该差异的时间占比尚未通过单独 A/B 定量隔离。,source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:750; /tmp/weft-quantized-vec-dot.GTr3Tq/kernel.c:95,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 q2_k 10,重跑；原缺口仍待定
iq1_m_q8_k,SG2044,decode,0.825254,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 iq1_m 10,重跑；原缺口仍待定
mul_mat_q1_0,SG2044,prefill,0.825931,targeted-rerun,待定,13-mask-replica-projection,mask broadcast/free-axis -> signed bitmask partial,当前每 32 元素的 4 个 Xq load 已跨 8 个输出共享；仍先将 bitmask 解码为 +/-1，再每输出 2 次 byte MAC。现有 signed-bitmask matcher 仅支持 scalar output、同形状且完整单 lane axis。,lib/Target/FuseRISCVBitplanes.cpp::matchSignedBitmaskReduction; lib/Target/MaterializeRISCVPartialAccumulators.cpp; signed-mask leaf 数值合同,mask broadcast 与 replica partial 关系，以及 -128 的范围证明或先 widening 后变号；LMUL 8/16/32/64 已扫，不能继续只靠增宽。,lib/Target/FuseRISCVBitplanes.cpp:142; lib/Target/RISCVIntrinsicC.cpp:8860; examples/kernels/mul_mat/q1_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 q1_0 prefill 10,重跑；原缺口仍待定
mul_mat_iq1_m,SG2044,decode,0.826894,targeted-rerun,待定,01-sibling-supply,main/correction 的 4 x 64 issue 与 scale partial,每 256 元素：main/correction 各 4 个 issue，共 8 activation loads、8 products、32 partial reductions；donor 保留 2 个 i32 accumulator 后 2 次最终 reduction。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::matchReplicaScaledDotReduction; PlanRISCVPartialTopologiesPass; lib/Target/ShareRISCVLayeredWindows.cpp,先联合 main/correction 的源坐标供应及 partial-set/resource 规划，再判断是否剩下不可保持原数值边界的差距；scale 与 widening/overflow 结合点不得静默改变。,examples/kernels/vec_dot/iq1_m_q8_k.py:20; lib/Target/MaterializeRISCVPartialAccumulators.cpp:3010; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:3184,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 iq1_m decode 10,重跑；原缺口仍待定
mul_mat_q2_k,SG2044,decode,0.828327,targeted-rerun,待定,08-subregister-reduction-sequence,16-lane m2 reduction 与两个 8-lane m1 reduction 的局部选择,双方每块均为 16 B metadata unit read、4 Q2 loads、16 Q8 loads、16 products、4 scale mul + 12 MAC、4 extract。Weft 16 次 16-lane vwredsum；donor 32 次 8-lane vwredsum，切为两个子寄存器归约。,lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass; lib/Target/SelectRISCVOperations.cpp,闭合的 subregister reduction/issue sequence 及其延迟/资源选择；这是同一整数程序的物理选择，不是作者数值树差异。该差异的时间占比尚未通过单独 A/B 定量隔离。,source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:750; /tmp/weft-quantized-vec-dot.GTr3Tq/kernel.c:95,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh sg2044 q2_k decode 10,重跑；原缺口仍待定
iq4_nl_q8_0,K1/X60,decode,0.841749,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 iq4_nl 10,重跑；原缺口仍待定
mul_mat_iq4_nl,K1/X60,decode,0.858572,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq4_nl decode 10,重跑；原缺口仍待定
mul_mat_iq2_xxs,K1/X60,prefill,0.868378,targeted-rerun,待定,03-staged-entry-memory-choice,staged free-axis carrier 的 codebook entry load / relative index,正确的 I8X8 entry ABI 确实生成 64-bit gather，但 K1 ratio 0.705253，加入 u32 相对坐标也仅 0.775215；裸表 u32 为 0.793987，当前原 Index staged 为 0.867863。,lib/Target/PlanRISCVMemory.cpp::selectIndexedEntryPhysicalChoice; examples/kernels/mul_mat/iq2_xxs_staged.py; examples/kernels/mul_mat/tuning.json,在同一个完整 indexed-entry relation 内联合比较 scalar/unit 与 vector/gather 的合法 layout/resource 候选，并解决重复 metadata 供应；补 entry ABI 本身不足以达线。,lib/Target/PlanRISCVMemory.cpp:1558; examples/kernels/mul_mat/iq2_xxs_staged.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 iq2_xxs prefill 10,重跑；原缺口仍待定
q4_k_q8_k,SG2044,decode,0.882407,targeted-rerun,待定,07-joined-metadata-bsum-window,joined sc/m metadata 的原始 byte window 与 scalar/vector decode,SG bsum 的 4 条 vlse16 已变为 2 条 vlseg2e16，无额外 tuple 搬运；仍有 8 scalar LBU + 2 VL8 indexed metadata reads，donor 是一次完整 metadata unit read 后局部 decode。,lib/Target/PlanRISCVMemory.cpp; lib/Target/ShareRISCVLayeredWindows.cpp::MaterializeRISCVReplicaStorageLoadsPass,保留已完成的 segment pair 关系；仍需跨 joined-field 的原始 byte-window identity 和 scalar/vector decode 共享，不再把 bsum strided load 列作未修项。,lib/Target/ShareRISCVLayeredWindows.cpp:2628; source/c/ggml/llama.cpp/ggml/src/ggml-cpu/arch/riscv/quants.c:1789,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-sg2044.jsonl; /tmp/weft-ratio95-supply.ShJU9a/SG2044-q4_k-segment.s:165; /tmp/weft-ratio95-supply.ShJU9a/segment-final-sg2044.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh sg2044 q4_k 10,已修 bsum 成对读取；joined metadata 仍待定
mul_mat_q6_k,K1/X60,prefill,0.895079,targeted-rerun,待定,11-scalar-address-live-set,Q6_K prefill 的地址与 scalar partial carry 生存期,unroll 4 -> 2 后 frame 784 -> 640 B，ratio 0.821661 -> 0.896682；仍有地址和标量 partial reload。MR1/2 x NR1/2 的 4 个更小候选均较慢。,lib/Target/MaterializeRISCVPartialAccumulators.cpp; Physical issue schedule/resource; examples/kernels/mul_mat/tuning.json,缩短标量/地址活跃区间并联合 partial issue 调度，显式考虑 GPR 压力；不能把该 spill 归为所有 metadata 或向量 load 重复。,examples/kernels/mul_mat/q6_k.py:16; lib/Target/MaterializeRISCVPartialAccumulators.cpp,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 q6_k prefill 10,重跑；原缺口仍待定
mul_mat_q4_1,K1/X60,prefill,0.912010,targeted-rerun,待定,10-replica-reduction-extract-schedule,MR4 x NR2 的 8 路 reduction/extract/vtype 序列,Xq load 已共享；8 次 zero copy 与 8 路交错 reduction/extract 产生 16 次 vtype 切换。两边均使用 -ffp-contract=fast 且有实际 FMA，不是缺 FMA。,lib/Target/MaterializeRISCVPartialAccumulators.cpp; lib/Target/SelectRISCVOperations.cpp; Physical schedule/resource 合同,联合 replica reduction/extract 调度，保持 tail、vtype 和资源合同；本轮 zero-seed 规则不能无条件扩大到不完整 tail。,examples/kernels/mul_mat/q4_1.py; lib/Target/SelectRISCVOperations.cpp::selectZeroSeedProducts,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-mul-mat.sh k1 q4_1 prefill 10,重跑；原缺口仍待定
mxfp4_q8_0,K1/X60,decode,0.919442,targeted-rerun,待定,06-table-range-legality,opaque i8 lookup operands -> two-product partial combine,当前先形成 2 个 i16 product，再 widen-add 到 i32 并 reduce；opaque i8 View 允许 -128，2x((-128)x(-128))=32768，不能无证明地合入 i16。,作者 table/value-range 合同; lib/Target/RISCVPhysicalSupport.cpp::integerRange; lib/Target/MaterializeRISCVPartialAccumulators.cpp::PlanRISCVPartialTopologiesPass,常量表或操作数的可验证范围合同，或保持合法的更宽 partial 计划；不可根据格式名或本次输入内容复制 donor 的窄 combine。,lib/Target/RISCVPhysicalSupport.cpp:1478; examples/kernels/vec_dot/iq4_nl_q8_0.py; examples/kernels/vec_dot/mxfp4_q8_0.py,report/ratio95-pending.csv; /tmp/weft-ratio95-supply.ShJU9a/baseline-k1.jsonl,WEFT_KEEP_ARTIFACTS=1 examples/run/weft-quantized-vec-dot.sh k1 mxfp4 10,重跑；原缺口仍待定
