op,format,engine,regime,group,rvv_tier,rvv_disp,rvv_cold,rvv_opp_sym,rvv_note,k1_tier,k1_disp,k1_cold,k1_opp_sym,k1_note
vec_dot,tq1_0,rvv,micro-fixed,matmul,手调,PASS,0.82,ggml_vec_dot_tq1_0_q8_K_vl128.isra.0,★B线第二块 tq1_0 vec_dot DEPLOYED fused leaf(部署 P1 fused 结构·改 emitTypedSuperBlockScalarDeltaGridLoopBodyTQ10 消 aux8[256] scratch+8×serial vwredsum→单 i16m4 累加器+单 vwredsum·真 emitter 改进非旋钮·sealed md5 338a31bb→bb4d574a)·deployed 具名-X 0.22→PASS 0.82·byte-exact mism=0 双板(_tu tail-undisturbed correctness fix)·VLEN-universal(VLEN128 emit==VLEN256 emit byte-identical·C3′「换VLEN不换条目」deployed 坐实)·5-seed min 0.807 全≥0.8·compiler-symmetric·opp 手调 _vl128·CORE==PROD md5 7e4ed0dc 主会话独立验·★near-parity PASS-by-gate 非 beat(cold≤1.0·~1.22×慢于手调·过0.8门=地盘非打赢)·gap=deployed unrolled+_tu(~219ns) vs P1 standalone rolled(~198ns)·rolled-loop lever 未试,手调,PASS,0.82,..._vl256,★B线第二块 tq1_0 vec_dot DEPLOYED fused leaf(同 rvv·部署 P1 fused)·deployed 具名-X 0.549→PASS 0.82·byte-exact mism=0·VLEN256·5-seed~0.821(iqr<0.2%)·compiler-symmetric·opp 手调 _vl256·near-parity PASS-by-gate 非 beat(cold≤1.0)·k1 deployed 0.821≈P1 standalone 0.823 无 gap(VLEN256 unaffected)
vec_dot,tq2_0,rvv,micro-fixed,matmul,手调,PASS,0.975,ggml_vec_dot_tq2_0_q8_K_vl128.isra.0,objdump rvv:85/vec46/mac10→手调〔清偿〕,手调,PASS,0.879,..._vl256,objdump k1:88/vec46/mac10→手调〔清偿〕
product_reduce,q4_0_nibble,rvv,micro-fixed,product_reduce,标量类,PASS,2.712,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗,标量类,PASS,1.166,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗
product_reduce,offset_binary_n3,rvv,micro-fixed,product_reduce,标量类,PASS,0.855,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗,标量类,PASS,0.86,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗
product_reduce,codebook_n3,rvv,micro-fixed,product_reduce,标量类,PASS,1.978,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗,标量类,PASS,1.096,ggml scalar-ref(fallback),internal sub-primitive·§〇.2兜底·待补标量仗
quantize_row,q8_0,rvv,micro-fixed,quantize,通用向量,PASS,1.0,quantize_row_q8_0,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕,通用向量,PASS,1.0,quantize_row_q8_0,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕
quantize_row,q8_1,rvv,micro-fixed,quantize,通用向量,PASS,1.0,quantize_row_q8_1,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕,通用向量,PASS,1.0,quantize_row_q8_1,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕
quantize_row,q8_K,rvv,micro-fixed,quantize,通用向量,PASS,1.0,quantize_row_q8_K,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕,通用向量,PASS,1.004,quantize_row_q8_K,★ggml-cpu/arch/riscv/quants.c 手写__riscv_v intrinsic(非scalar autovec)→通用向量〔V-纠·source铁证·objdump待§六补〕
dequantize_row,q4_0,rvv,micro-fixed,dequant,标量类,PASS,2.1,dequantize_row_q4_0,★R线§四.1 de-lottery·owned 真向量 emit(9 owned intrinsic·gather=0·ISSUE-001反转·[L-8]强义construction真赢·关ISSUE-002该格敞口)·byte-exact GREEN·PASS→PASS(0.838类lottery→owned·D1板测2.0998/2.0752)·标量类硬门·★opp-immaturity(对手ggml dequant非热路径未手工向量化·§三.12·非perf硬赢)·勿外推,标量类,PASS,1.437,dequantize_row_q4_0,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q4_1,rvv,micro-fixed,dequant,标量类,PASS,2.29,dequantize_row_q4_1,★R线§四.1 de-lottery·owned 真向量 emit(9 owned·FMA-resolved fused vfmacc匹配对手 vfmadd.vv objdump证·byte-exact真非假绿·[L-8]construction·关ISSUE-002敞口)·PASS→PASS(1.284 lottery→owned·D1板测2.2854/2.2936·ab84复现)·标量类硬门·★opp-immaturity(§三.12·非硬赢)·勿外推,标量类,PASS,1.396,dequantize_row_q4_1,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q5_0,rvv,micro-fixed,dequant,标量类,PASS,5.96,dequantize_row_q5_0,★R线§四.1 de-lottery·owned 真向量 emit(16 owned intrinsic·gather=0·[L-8]强义construction真赢·关ISSUE-002敞口)·byte-exact GREEN·PASS→PASS(1.007 lottery→owned·D1板测5.9557/6.0301)·标量类硬门·★opp-immaturity(5th-bit·ggml autovec差 non_vset_vec=26·§三.12·非perf硬赢·勿称6×赢)·勿外推,标量类,PASS,4.22,dequantize_row_q5_0,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q5_1,rvv,micro-fixed,dequant,标量类,PASS,6.44,dequantize_row_q5_1,★R线§四.1 de-lottery·owned 真向量 emit(16 owned·FMA-resolved fused vfmacc匹配对手 vfmadd·byte-exact真非假绿·[L-8]construction·关ISSUE-002敞口)·PASS→PASS(1.02 lottery→owned·D1板测6.4173/6.4036)·标量类硬门·★opp-immaturity(5th-bit ggml autovec差·§三.12·非硬赢)·勿外推,标量类,PASS,4.421,dequantize_row_q5_1,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q8_0,rvv,micro-fixed,dequant,标量类,PASS,2.33,dequantize_row_q8_0,★R线§四.1 de-lottery·owned 真向量 emit(5 owned intrinsic·ISSUE-001 反转·[L-8]强义 construction 真赢·非autovec抽签·regen-identical)·byte-exact GREEN·non-grid 无gather墙(对比 grid iq3_xxs 0.36 天花板)·cold 0.838 lottery→2.33 owned(trellis-check 复现 2.3478/2.3266·2seed)·标量类硬门 PASS·[L-8]强义construction真赢·★关ISSUE-002该格敞口(24行dequant [L-8]存疑随de-lottery逐格关)·★opp-immaturity(对手ggml dequant非热路径未手工向量化·§三.12·非perf硬赢·禁称重大WIN/真赢部署核)·勿外推grid/K-quant,标量类,PASS,1.067,dequantize_row_q8_0,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q1_0,rvv,micro-fixed,dequant,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母
dequantize_row,q2_K,rvv,micro-fixed,dequant,标量类,PASS,1.22,dequantize_row_q2_K,★B线第一块批1 de-lottery·K-quant super-block owned 真向量 emit(scalar-forwarder→owned body·bit-unpack super-block·gather=0 streaming·[L-8]强义construction·关ISSUE-002该格敞口)·byte-exact GREEN(mism=0/262144·3-arm·CORPUS COMPLETE·FMA-contract)·pending(DEQ-历史stale)→PASS(cold 1.22·2seed)·标量类硬门·★opp-immaturity(对手host-autovec-of-scalar-C·§三.12·非perf硬赢)·sealed整数核未动·勿外推vec_dot/grid,标量类,PASS,0.828,dequantize_row_q2_K,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q3_K,rvv,micro-fixed,dequant,标量类,PASS,2.62,dequantize_row_q3_K,★B线第一块批1 de-lottery·K-quant super-block owned 真向量 emit(scalar-forwarder→owned body·bit-unpack super-block·gather=0 streaming·[L-8]强义construction·关ISSUE-002该格敞口)·byte-exact GREEN(mism=0/262144·3-arm·CORPUS COMPLETE·FMA-contract)·pending(DEQ-历史stale)→PASS(cold 2.62·2seed)·标量类硬门·★opp-immaturity(对手host-autovec-of-scalar-C·§三.12·非perf硬赢)·sealed整数核未动·勿外推vec_dot/grid,标量类,PASS,3.227,dequantize_row_q3_K,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q4_K,rvv,micro-fixed,dequant,标量类,PASS,1.01,dequantize_row_q4_K,★B线 de-lottery·K-quant super-block owned 真向量 emit(gather=0·[L-8]强义construction·关ISSUE-002敞口)·byte-exact GREEN(mism=0/262144·3-arm·CORPUS COMPLETE·FMA-contract)·★r5.1-W5 HEADLINE FLIP 0.55→1.01(具名-X→vs-部署PASS·2seed 1.0055/1.0156)·标量类硬门·★WALL-TYPE更正:前0.55非微架构墙=我方codegen结构·板测三点bisect(vfcvt交错0.55→vfwcvt swap 0.58次要→two-pass标量前置1.01主导)·发射层两合法动作(源重排+intrinsic swap·无inline-asm)·supersedes ISSUE-109/§四.2「perf-cold墙」记录·首波假headline(手写kernel非emitter产出)经主会话独立check更正·opp便宜档 per锁①≥0.8=入账·勿外推,标量类,PASS,4.315,dequantize_row_q4_K,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q5_K,rvv,micro-fixed,dequant,标量类,PASS,2.19,dequantize_row_q5_K,★B线 de-lottery·K-quant super-block owned 真向量 emit(gather=0 streaming·[L-8]强义construction·关ISSUE-002敞口)·byte-exact GREEN(mism=0/262144·3-arm·CORPUS COMPLETE·FMA-contract)·★r5.1-W5 improved 1.16→2.19(cold 341k→181k ns·2seed·same two-pass标量前置+vfwcvt lever·shared fn 无回归)·标量类硬门·★opp-immaturity(对手host-autovec-of-scalar-C·§三.12·非perf硬赢)·sealed整数核未动·勿外推vec_dot/grid,标量类,PASS,5.127,dequantize_row_q5_K,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,q6_K,rvv,micro-fixed,dequant,标量类,PASS,1.49,dequantize_row_q6_K,★B线第一块批1 de-lottery·K-quant super-block owned 真向量 emit(scalar-forwarder→owned body·bit-unpack super-block·gather=0 streaming·[L-8]强义construction·关ISSUE-002该格敞口)·byte-exact GREEN(mism=0/262144·3-arm·CORPUS COMPLETE·FMA-contract)·pending(DEQ-历史stale)→PASS(cold 1.49·2seed)·标量类硬门·★opp-immaturity(对手host-autovec-of-scalar-C·§三.12·非perf硬赢)·sealed整数核未动·勿外推vec_dot/grid,标量类,PASS,1.115,dequantize_row_q6_K,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq1_s,rvv,micro-fixed,dequant,标量类,PASS,0.99,dequantize_row_iq1_s,★W5 grid族尾 de-lottery(r51h·续 W4 lever)·scalar-forwarder(auto-promote 0.98 lottery)→owned 窄化 per-entry body(ternary iq1s_grid 2048-entry·grid idx 11-bit qs|qh·SIGNED int8 grid·delta ADD vfadd+vfmul 双 rounding 匹配 ggml·gather-free)·★lever-N/A honest-null: 前置核 MODERATE autovec opp(objdump vec=24/vset=8/gather=0≈iq1_m opp·deployed 已 gather-free 好码)→owned body 得 PARITY(0.9936/0.9965·2seed·ours~731us vs ggml~727us·iqr<1%·同 iq1_m 1.03 定性)·部署为 [L-8] de-lottery 加固(owned 不吃 clang autovec lottery)非结构翻·byte-exact 全 0/524288·CORPUS grid 2048/2048 delta +-·CORE==PROD md5 55378f93·标量类硬门·墙型=compiler-behavior(opp gather=0)·前置核有无宽可窄=翻/N-A 分轴键(iq1_s 落 N/A 侧同 iq1_m)·勿外推,标量类,PASS,2.893,dequantize_row_iq1_s,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq1_m,rvv,micro-fixed,dequant,标量类,PASS,1.03,dequantize_row_iq1_m,★r5.1-d de-lottery 成色(a3f603bc1·非真地盘·前置核分轴)·★lever-N/A honest-null: 前置核无宽/无 gather(deployed 已 gather-free 好码 vlux=0/vslide=0)→W4 lever N/A(无宽可窄)·造 owned body 走完攻坚环得 PARITY(1.03/1.04× ggml·0.98× deployed·IQR 噪声内)·部署为 [L-8] de-lottery 加固(owned 不吃 clang autovec lottery)·byte-exact(mism=0/131072·CORPUS grid 2048/2048·3-arm·qNaN 三方一致)·CORE==PROD(md5 124450af)·★诚实标注非 perf-flip·非新地盘(deployed scalar 本已≥parity·具名-X 系 stale-verdict·de-lottery 只成色)·前置核(有无宽可窄)=grid dequant 翻/N/A 分轴键,标量类,PASS,3.545,dequantize_row_iq1_m,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq2_xxs,rvv,micro-fixed,dequant,标量类,PASS,2.26,dequantize_row_iq2_xxs,★W5 grid族尾 de-lottery(r51h·9d... 续 W4 lever)·scalar-forwarder→owned 窄化 per-entry body(iq2_xs grid-of-8 sibling·grid idx 8-bit 256-entry+ksigns 7-bit sign-plane·gather-free 装配)·前置核 HEAVY autovec opp(objdump 部署 vec=74/vset=33/gather=0=clang autovec 非 HW-gather 墙)→owned vsext32/vfcvt32/vfmul32 gather-free·auto-promote(pending-§6)→owned PASS 2.2565/2.2624(2seed·ours~720us vs ggml~1625us·iqr<1%)·byte-exact(ours-vs-oracle/ggml-vs-oracle/ours-vs-ggml 全 0/524288·CORPUS grid 256/256 sign 128/128)·CORE==PROD md5 6a9bdc4d·标量类硬门·★opp-immaturity 便宜档(host-autovec scalar-C·§三.12·非perf硬赢)·墙型=compiler-behavior/codegen-STRUCTURE(非微架构·opp gather=0 证)·勿外推,标量类,PASS,2.475,dequantize_row_iq2_xxs,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq2_xs,rvv,micro-fixed,dequant,标量类,PASS,3.88,dequantize_row_iq2_xs,★★r5.1-d 扩iq2面主标的达成(a3f603bc1·裁2·续 grid dequant 全族翻)·真地盘 FLIP(pending→PASS)·前置核有宽/有 gather(deployed vlux=32·wide e32m2·codegen-lottery ISSUE-001/002)→W4 lever 移植(gather-free 装配+narrow m2 widening 取代 wide vsext_vf4)→PROD 3.76/4.01× vs ggml·2.0× deployed·ours_med 200us==HALF deployed 401us·gather-free(vlux=0 vslide=0)·byte-exact(三向 mism=0/131072·CORPUS grid 512/512 sign 128/128·3-arm)·CORE==PROD(md5 6fc3560e)·codegen-STRUCTURE 墙发射层翻·🔴无 inline-asm,标量类,PASS,0.923,dequantize_row_iq2_xs,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq2_s,rvv,micro-fixed,dequant,标量类,PASS,2.18,dequantize_row_iq2_s,★W5 grid族尾 de-lottery(r51h·续 W4 lever)·scalar-forwarder(P1-backfill7 1.75 lottery)→owned 窄化 per-entry body(grid-of-8·grid idx 10-bit 1024-entry qs|qh+explicit signs256 8-bit sign-plane·per-half scale·gather-free)·前置核 HEAVY autovec opp(objdump vec=74/vset=33/gather=0)→owned gather-free·具名-X/lottery→owned PASS 2.1832/2.1754(2seed·ours~773us vs ggml~1684us·iqr<1%)·byte-exact 全 0/524288·CORPUS grid 1024/1024 sign 256/256·CORE==PROD md5 13ca4316·标量类硬门·★opp-immaturity 便宜档(§三.12·非perf硬赢)·墙型=compiler-behavior·de-lottery 消 1.75 lottery→确定 owned·勿外推,标量类,PASS,1.813,dequantize_row_iq2_s,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq3_xxs,rvv,micro-fixed,dequant,标量类,PASS,1.39,dequantize_row_iq3_xxs,★★r5.1-W4 翻盘(9d74daa96·裁2 印证)·grid gather 墙证伪=codegen-STRUCTURE 可翻非硬件天花板·具名-X 0.36→PASS 1.3898/1.4209(打赢部署 autovec 1.4×·gather=0·byte-exact mism=0)·攻坚环 bisect(板上三点): baseline gather=8/0.33→vB slideup gather-free 但仍 0.35(★关键负结果=单纯消 gather 不解墙)→vC 窄化 per-entry(opponent 形状·owned intrinsic)gather=0/1.36·真 lever=gather-free 装配(必要)+窄化 per-entry 廉价 m1 widening(主导·旧 wide-LMUL m8 vsext_vf4/vfcvt 才是主成本中心)·🔴无 inline-asm·deployed emitDequantizeRowIQ3XXSVectorBody(regen md5 9d05ecad·CORE==PROD)·★ISSUE-107 honest-null 证伪(墙型订正 compiler-behavior),标量类,PASS,1.62,dequantize_row_iq3_xxs,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq3_s,rvv,micro-fixed,dequant,标量类,PASS,1.71,dequantize_row_iq3_s,★审计订正C1(paper-side self-audit·2026-07-20): 前值 2.08=max-of-7-seed(挑对手跑最差那次·方差全在对手侧 ggml IQR 17-33% vs ours 0.3-0.75%)·canon SOP 无 max-of-N 授权→改 median 1.71(7-seed)。★C2/B4 资格注: 数走 ad-hoc run_*.sh 非 bench 合法通道(runs.log 07-19/20 零行)·无 T-N 噪声地板(canon/测量判据.md:32·dequant T-N 命中 0)=按项目自己法尚无判定资格·pending bench-channel + T-N 正式确认·成色=measured 非 T-N-qualified。★★r5.1-c grid族全族翻(84150fd6e·裁2·续 W4 lever)·原无 owned body(deployed scalar 被 clang -O3 autovec 炸成 32 vlux+320 slidedown 彩票叶)→造 owned 窄化 per-entry body(W4 iq3_xxs lever 移植·gather-free 装配+廉价 m1 widening·grid-of-4 显式符号 sibling)·具名-X→PASS 1.44-2.08(~2x·全 7 seed 击败 ggml·iqr<1%·ours_med 522→257us)·byte-exact(ours-vs-oracle 0/131072·ggml-vs-oracle 0·3-arm·corpus grid 512/512 sign 256/256)·CORE==PROD(md5 ca6bd415·vlux=0 vslidedown=0 vs deployed 32/320)·🔴无 inline-asm·★推翻 GEN_SEAL iq3_s「同 gather 墙」预测·codegen-STRUCTURE 墙发射层翻,标量类,PASS,1.86,dequantize_row_iq3_s,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
dequantize_row,iq4_nl,rvv,micro-fixed,dequant,标量类,PASS,5.51,dequantize_row_iq4_nl,★B线第一块批2 de-lottery·tiny-codebook 16-entry owned 真向量 emit(vrgather_vv_i8m1 REGISTER 码本·vluxei=0·flat fp16标度·9 owned·[L-8]·关ISSUE-002敞口)·byte-exact GREEN(mism=0/131072·3-arm·CORPUS 32/32·single-mul)·成色upgrade lottery-PASS→owned PASS(cold 5.5108/5.4248·2seed·count不动·敞口关)·标量类硬门·★opp-immaturity(§三.12·非perf硬赢)·sealed vec_dot核未动·勿外推,标量类,PASS,3.867,dequantize_row_iq4_nl,scalar源 autovec→标量类(§〇.1)·per-format clang18 autovec·单世界clang(PR-17)
