seq,family_spectrum,decode_model,frontdoor_flip_commit,gross_insert_LOC(lib+include),gross_delete_LOC(lib+include),net_LOC,reusable_framework_LOC(paid-once),family_specific_LOC,of_which_copy_adapt_template_LOC,retirement_offset_LOC(retired-direct-emit-bypass),delta_C_construct,cost_tier,marginal_position,labor_proxy_passes,recompute_ref,snapshot
10,dequantize_row(flat 4-bit nibble+min streaming block-decode),q4_1,pending-user-commit,28,3,+25,~0 (reuses the nibble-class routing + the SHARED nibble body WHOLE via emitDequantizeRowNibbleBodyShared; ZERO framework re-pay),~28,~28 (facts-wrapper leaf: sets the 8 q4_1 ABI facts stride=20/mOff=2/qsOff=4/hasMin=true and calls the shared nibble body -- the min-fold path already lives in the shared body),0 (monolith KEPT as defensive fallback calling the SAME shared nibble body),44->45,LOW (facts-wrapper-only; the nibble body + the min-fold path are FULLY shared -- q4_1 differs from q4_0 only in the min add + offsets),cheap-reuse (SECOND flat-nibble leaf / FIRST min-fold sibling; ~decode-leaf-only = a ~10-line facts-wrapper emitDequantizeRowQ4_1BodyShared + 1 allowlist token + 1 constructOrEmit facts branch + 1 emitTypedDequantizeRowLoopBody dispatch if),1,git diff --numstat scoped to the 4 dequant touch-set lib+include files (see seq 9; per-format share of the 204/49 batch); family-specific = emitDequantizeRowQ4_1BodyShared facts-wrapper leaf,HEAD=3fbe65f1
11,dequantize_row(flat 5-bit nibble+qh streaming block-decode),q5_0,pending-user-commit,28,3,+25,~0 (reuses the nibble-class routing + the SHARED nibble body WHOLE; the qh 5th-bit plane + merge path already lives in the shared body via hasQh; ZERO framework re-pay),~28,~28 (facts-wrapper leaf: sets the 8 q5_0 ABI facts stride=22/qhOff=2/qsOff=6/sub=16/hasQh=true and calls the shared nibble body),0 (monolith KEPT as defensive fallback calling the SAME shared nibble body),45->46,LOW (facts-wrapper-only; the byte-assembled qh 5th-bit plane + the 5th-bit merge are FULLY shared -- q5_0 differs from q4_0 only in hasQh + the -16 bias + offsets),cheap-reuse (THIRD flat-nibble leaf / FIRST qh-plane sibling; ~decode-leaf-only = a ~10-line facts-wrapper emitDequantizeRowQ5_0BodyShared + 1 allowlist token + 1 constructOrEmit facts branch + 1 emitTypedDequantizeRowLoopBody dispatch if),1,git diff --numstat scoped to the 4 dequant touch-set lib+include files (see seq 9); family-specific = emitDequantizeRowQ5_0BodyShared facts-wrapper leaf,HEAD=3fbe65f1
12,dequantize_row(flat 5-bit nibble+qh+min streaming block-decode),q5_1,pending-user-commit,28,3,+25,~0 (reuses the nibble-class routing + the SHARED nibble body WHOLE; BOTH the qh 5th-bit plane AND the min-fold paths already live in the shared body; ZERO framework re-pay),~28,~28 (facts-wrapper leaf: sets the 8 q5_1 ABI facts stride=24/mOff=2/qhOff=4/qsOff=8/hasMin=true/hasQh=true and calls the shared nibble body),0 (monolith KEPT as defensive fallback calling the SAME shared nibble body),46->47,"LOW (facts-wrapper-only; q5_1 = q5_0's qh-plane + q4_1's min-fold, BOTH already shared -- differs only in 8 fact values; COMPLETES the flat legacy dequantize_row family {q4_0/q4_1/q5_0/q5_1/q8_0})",cheap-reuse (FOURTH flat-nibble leaf / COMPLETES the flat legacy dequant family; ~decode-leaf-only = a ~10-line facts-wrapper emitDequantizeRowQ5_1BodyShared + 1 allowlist token + 1 constructOrEmit facts branch + 1 emitTypedDequantizeRowLoopBody dispatch if),1,git diff --numstat scoped to the 4 dequant touch-set lib+include files (see seq 9); family-specific = emitDequantizeRowQ5_1BodyShared facts-wrapper leaf,HEAD=3fbe65f1
13,dequantize_row(K-quant super-block streaming block-decode; block_qX_K -> f32 row; QK_K=256; dual-scale d/dmin + get_scale_min_k4 6-bit + nibble; min-fold),q4_K,pending-user-commit,118,37,+81,~90 (the dequant streaming FRONT-DOOR framework itself was paid ONCE at the q8_0 family-head seq 8; the K-quant-CLASS re-pay reused WHOLE by q5_K/q6_K/q2_K/q3_K = the emitGgmlDequantizeRowExtended FORMAT-KEYED refactor [deqOp -> format string; ONE source both the dispatch-wired monolith fallback AND the constructed path run] + the emitDequantizeRowKQuantBodyShared thin forwarder + the emitTypedDequantizeRowLoopBody K-quant decode_model dispatch/allowlist widen + the verifier isConstructedDequantizeRowDecodeModel widen),~28 (the q4_K constructOrEmit facts branch qk=256/stride=144/dOff=0/qsOff=16 + the ODS/verifier allowlist doc widen share),0 (NO copied decode leaf: the whole K-quant super-block decode is REUSED WHOLE from the monolith emitGgmlDequantizeRowExtended via the format-keyed refactor -- that function is the SINGLE source both paths run; nothing was copied or relocated),0 (dequant NOT in emit-bypass-whitelist; the monolith is KEPT and is now the SHARED single source reached by BOTH the dispatch-wired fallback AND the constructed path -- no tracked bypass retired; the K-quant leaves were NOT deleted/relocated),47->48,LOW (K-quant-class framework re-pay small; the K-quant super-block decode already EXISTED in emitGgmlDequantizeRowExtended -> REUSED WHOLE not authored; only the format-keyed refactor + the routing/allowlist are net-new; first K-quant dequant leaf),cheap-reuse (FIRST K-quant super-block dequant leaf; the dequantize_row streaming FRONT-DOOR framework built once at q8_0 seq 8 is reused WHOLE -- only the K-quant-class routing generalization + the format-keyed monolith refactor are net-new; the SAME emitGgmlDequantizeRowExtended super-block decode is reused WHOLE via emitDequantizeRowKQuantBodyShared; the 5 K-quant formats differ ONLY in qk=256 + per-format stride/offset facts),1,git diff --numstat SCOPED to the 4 K-quant dequant touch-set lib+include files (RVVToEmitCForwardElementwise.cpp 70/24 + RVVToEmitCInternal.h 29/5 + RVVDialectWideningOps.cpp 6/2 + RVVOps.td 13/6 = 118/37 gross for the WHOLE q4_K..q3_K batch; the working-tree line-C changes are in DISJOINT files -- EXCLUDED); reusable = emitGgmlDequantizeRowExtended format-keyed refactor + emitDequantizeRowKQuantBodyShared forwarder + emitTypedDequantizeRowLoopBody K-quant dispatch/allowlist + verifier allowlist; family-specific = the q4_K constructOrEmit facts branch,HEAD=8783cd0f
14,dequantize_row(K-quant super-block streaming block-decode; QK_K=256; dual-scale d/dmin + get_scale_min_k4 6-bit + nibble + qh 5th-bit; min-fold),q5_K,pending-user-commit,3,0,+3,~0 (reuses the K-quant-class routing + the SAME emitGgmlDequantizeRowExtended super-block decode WHOLE via emitDequantizeRowKQuantBodyShared; ZERO framework re-pay),~3 (facts-wrapper leaf: the q5_K constructOrEmit facts branch qk=256/stride=176/dOff=0/qsOff=48 -- the qh 5th-bit path already lives WHOLE in the shared monolith decode),0 (NO copied decode leaf: the q5_K super-block decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),48->49,LOW (facts-wrapper-only; the get_scale_min_k4 unpack + the qh 5th-bit merge + the min fold are FULLY shared -- q5_K differs from q4_K only in stride/offset + the qh path already in the shared decode),cheap-reuse (SECOND K-quant super-block leaf / FIRST qh-plane K-quant sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the super-block decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 K-quant dequant touch-set lib+include files (per-format share of the 118/37 batch; see seq 13); family-specific = the q5_K constructOrEmit facts branch,HEAD=8783cd0f
15,dequantize_row(K-quant super-block streaming block-decode; QK_K=256; SIGNED int8 scales[16] + 6-bit ql|qh assembly; no-min; -32 bias),q6_K,pending-user-commit,3,0,+3,~0 (reuses the K-quant-class routing + the SAME emitGgmlDequantizeRowExtended super-block decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the q6_K constructOrEmit facts branch qk=256/stride=210/dOff=208/qsOff=0 -- the signed int8 scales + the 6-bit assembly live WHOLE in the shared decode),0 (NO copied decode leaf: the q6_K super-block decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),49->50,LOW (facts-wrapper-only; the SIGNED int8 scale loads + the 6-bit ql|qh assembly + the -32 bias are FULLY shared -- q6_K differs only in stride/offset facts),cheap-reuse (THIRD K-quant super-block leaf / FIRST no-min K-quant sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the super-block decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 K-quant dequant touch-set lib+include files (per-format share of the 118/37 batch; see seq 13); family-specific = the q6_K constructOrEmit facts branch,HEAD=8783cd0f
16,dequantize_row(K-quant super-block streaming block-decode; QK_K=256; dual-scale d/dmin + 4-bit packed scale/min + 2-bit quant; min-fold),q2_K,pending-user-commit,3,0,+3,~0 (reuses the K-quant-class routing + the SAME emitGgmlDequantizeRowExtended super-block decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the q2_K constructOrEmit facts branch qk=256/stride=84/dOff=80/qsOff=16 -- the 4-bit packed scale/min + the 2-bit quant live WHOLE in the shared decode),0 (NO copied decode leaf: the q2_K super-block decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),50->51,LOW (facts-wrapper-only; the 4-bit packed scale/min + the 2-bit quant unpack + the min fold are FULLY shared -- q2_K differs only in stride/offset facts),cheap-reuse (FOURTH K-quant super-block leaf / SECOND min-fold K-quant sibling; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the super-block decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 K-quant dequant touch-set lib+include files (per-format share of the 118/37 batch; see seq 13); family-specific = the q2_K constructOrEmit facts branch,HEAD=8783cd0f
17,dequantize_row(K-quant super-block streaming block-decode; QK_K=256; aux kmask 6-bit scale shuffle + 2-bit quant + hmask high-bit; no-min; -32 bias),q3_K,pending-user-commit,3,0,+3,~0 (reuses the K-quant-class routing + the SAME emitGgmlDequantizeRowExtended super-block decode WHOLE; ZERO framework re-pay),~3 (facts-wrapper leaf: the q3_K constructOrEmit facts branch qk=256/stride=110/dOff=108/qsOff=32 -- the aux kmask 6-bit scale shuffle + the hmask high-bit term live WHOLE in the shared decode),0 (NO copied decode leaf: the q3_K super-block decode is REUSED WHOLE from the monolith),0 (monolith KEPT as the SHARED single source; no tracked bypass retired),51->52,LOW (facts-wrapper-only; the aux kmask 6-bit scale shuffle + the 2-bit quant + the hmask high-bit term + the -32 bias are FULLY shared -- q3_K differs only in stride/offset facts; COMPLETES the K-quant super-block dequantize_row family {q2_K/q3_K/q4_K/q5_K/q6_K}),cheap-reuse (FIFTH K-quant super-block leaf / COMPLETES the K-quant dequant family; ~decode-leaf-only = a ~3-line constructOrEmit facts branch + the shared allowlist/dispatch || token; the super-block decode is REUSED WHOLE from the monolith),1,git diff --numstat scoped to the 4 K-quant dequant touch-set lib+include files (per-format share of the 118/37 batch; see seq 13); family-specific = the q3_K constructOrEmit facts branch,HEAD=8783cd0f
18,quantize_row(streaming activation-quantizer; f32 row -> block_qX; the MIRROR of dequantize_row),q8_0,pending-user-commit,607,53,+554,"~490 (the quantize streaming front-door framework built ONCE: the 3 ODS ops TypedQuantizeRowLoopBodyOp/QuantizeRowEncodeCoreOp/TypedQuantizeRowLoopYieldOp + the 2 verifiers + isConstructedQuantizeRowEncodeModel + constructQuantizeRowRegionAndLower + emitTypedQuantizeRowLoopBody typed-region walker + the header decls -- a MIRROR copy-adapt of the dequant seq-8 framework, so authoring cost < a from-scratch spectrum)",~117,"~117 (RELOCATED VERBATIM: the whole q8_0 amax/scale/narrow block loop was MOVED from the emitGgmlQuantizeRowQ80 monolith tail into emitQuantizeRowQ80BodyShared -- net-new LOC ~0, only the signature+facts-const+wrapper are new; the SHARED per-block core emitQuantizeQ80BlockBody is UNCHANGED and still shared with the [FMT-PROP] fused epilogue)","0 (quantize NOT in emit-bypass-whitelist -- that ratchet is repack gemm_tile-only; the emitGgmlQuantizeRowQ8{0,1,K} entry points are KEPT as the construct-then-lower wrappers -- no tracked bypass retired; only the inner block loops MOVED into the shared bodies)",52->53,HIGH (NEW quantize_row STREAMING spectrum -- the THIRD front-door spectrum after the RepackGem contraction seq 0-7 + the dequantize_row streaming spectrum seq 8-17; base cost REDUCED by MIRROR copy-adapt of the dequant seq-8 framework),base-cheaper-mirror (quantize streaming front-door framework built once = FIRST quantize_row spectrum point; ALL streaming CONSTRUCTION-ONLY [no cross-block accumulator; block-local amax; no tiling decision; no S6/[XFER-1]]; the framework is a copy-adapt MIRROR of the dequant seq-8 base so authoring cost < dequant base; subsequent formats ~encode-leaf-only re-pay = a MOVED emitQuantizeRow<fmt>BodyShared + 1 allowlist token + 1 emitTypedQuantizeRowLoopBody dispatch if + 1 construct facts branch),1,"git diff --numstat SCOPED to the 4 quantize touch-set lib+include files (RVVOps.td 143/0 + RVVDialectWideningOps.cpp 175/0 + RVVToEmitCForwardElementwise.cpp 236/53 + RVVToEmitCInternal.h 53/0 = 607/53 gross for the WHOLE q8_0..q8_K batch; the working tree ALSO carries DISJOINT line-C changes to RVVLowerQuantContraction.cpp/RVVToEmitCBlockQuantLinear.cpp/RVVRepackTilingSelection.h -- EXCLUDED; RVVToEmitC.cpp UNTOUCHED, the abstract quantize dispatch entries route to the construct-then-lower wrappers); reusable framework = the 3 ODS ops+verifiers + isConstructedQuantizeRowEncodeModel + constructQuantizeRowRegionAndLower front-door + emitTypedQuantizeRowLoopBody walker; family-specific = emitQuantizeRowQ80BodyShared (q8_0 encode leaf; MOVED VERBATIM -- BEFORE/AFTER emit byte-identical modulo provenance token)",HEAD=ce19ed3c
19,quantize_row(streaming activation-quantizer; f32 row -> block_q8_1; +vwredsum integer block sum),q8_1,pending-user-commit,28,0,+28,~0 (reuses the quantize streaming FRONT-DOOR framework WHOLE -- the framework itself was paid ONCE at the q8_0 family-head seq 18; ZERO framework re-pay),~28,"~28 (RELOCATED VERBATIM: the whole q8_1 amax/scale/narrow + vwredsum block-sum loop was MOVED from the emitGgmlQuantizeRowQ81 monolith tail into emitQuantizeRowQ81BodyShared -- net-new LOC ~0, only the facts-const + the wrapper + the emitTypedQuantizeRowLoopBody dispatch if are new)",0 (quantize NOT in emit-bypass-whitelist; the emitGgmlQuantizeRowQ81 entry KEPT as the construct-then-lower wrapper),53->54,LOW (framework re-pay ~0; the q8_1 encode body already EXISTED in the monolith -> RELOCATED not authored; the SIBLING leaf differs from q8_0 only in the extra vwredsum block sum + the byte offsets),cheap-reuse (SECOND quantize leaf / FIRST sum-fold sibling; the quantize streaming FRONT-DOOR framework built once at q8_0 seq 18 is reused WHOLE -- only the encode-leaf relocation + the routing dispatch if + the construct facts branch (block_stride=36) are net-new; the vwredsum block sum feeding block_q8_1.s already lives in the moved body),1,git diff --numstat scoped to the 4 quantize touch-set lib+include files (per-format share of the 607/53 batch; see seq 18); family-specific = emitQuantizeRowQ81BodyShared encode leaf (MOVED VERBATIM) + the q8_1 construct facts branch,HEAD=ce19ed3c
